time,state_0,state_1,state_2
0.0,0.0,0.0,1.0
1.0,2.1e-05,3.4e-05,0.999945
2.0,9.9e-05,0.000131,0.99977
3.0,0.000229,0.000307,0.999464
4.0,0.000421,0.000561,0.999018
5.0,0.000708,0.000861,0.998431
6.0,0.001022,0.001237,0.997741
7.0,0.001326,0.001707,0.996967
8.0,0.00173,0.002275,0.995995
9.0,0.002216,0.002906,0.994878
10.0,0.002746,0.003635,0.993619
11.0,0.003333,0.004445,0.992222
12.0,0.003958,0.005283,0.990759
13.0,0.004615,0.006188,0.989197
14.0,0.00535,0.007186,0.987464
15.0,0.006128,0.008243,0.985629
16.0,0.007001,0.009354,0.983645
17.0,0.007894,0.010524,0.981582
18.0,0.008831,0.011788,0.979381
19.0,0.009819,0.013115,0.977066
20.0,0.010841,0.014493,0.974666
21.0,0.011939,0.016019,0.972042
22.0,0.013048,0.01752,0.969432
23.0,0.014218,0.019181,0.966601
24.0,0.015434,0.020886,0.96368
25.0,0.016683,0.022633,0.960684
26.0,0.017971,0.024525,0.957504
27.0,0.019345,0.026426,0.954229
28.0,0.020662,0.028486,0.950852
29.0,0.02207,0.030587,0.947343
30.0,0.023531,0.032673,0.943796
31.0,0.02505,0.034815,0.940135
32.0,0.026592,0.037053,0.936355
33.0,0.028215,0.03935,0.932435
34.0,0.029847,0.041681,0.928472
35.0,0.031586,0.04408,0.924334
36.0,0.033327,0.046592,0.920081
37.0,0.035063,0.049175,0.915762
38.0,0.036809,0.051763,0.911428
39.0,0.038663,0.054456,0.906881
40.0,0.04053,0.057194,0.902276
41.0,0.042411,0.05997,0.897619
42.0,0.044324,0.062747,0.892929
43.0,0.046197,0.065688,0.888115
44.0,0.048115,0.068697,0.883188
45.0,0.050076,0.07176,0.878164
46.0,0.052018,0.074895,0.873087
47.0,0.053954,0.078085,0.867961
48.0,0.05595,0.081341,0.862709
49.0,0.058044,0.084622,0.857334
50.0,0.06013,0.087977,0.851893
51.0,0.062304,0.091444,0.846252
52.0,0.064383,0.094907,0.84071
53.0,0.06649,0.098448,0.835062
54.0,0.068618,0.102107,0.829275
55.0,0.070825,0.105681,0.823494
56.0,0.072877,0.109335,0.817788
57.0,0.07502,0.113151,0.811829
58.0,0.077178,0.116919,0.805903
59.0,0.079314,0.120828,0.799858
60.0,0.081569,0.124683,0.793748
61.0,0.083662,0.128783,0.787555
62.0,0.085821,0.132802,0.781377
63.0,0.088027,0.136885,0.775088
64.0,0.090202,0.141007,0.768791
65.0,0.092331,0.145292,0.762377
66.0,0.094468,0.149395,0.756137
67.0,0.096548,0.153703,0.749749
68.0,0.098775,0.158052,0.743173
69.0,0.100872,0.162412,0.736716
70.0,0.103105,0.166879,0.730016
71.0,0.105315,0.171401,0.723284
72.0,0.10735,0.175937,0.716713
73.0,0.109435,0.180502,0.710063
74.0,0.111506,0.185114,0.70338
