time,state_0,state_1,state_2
0.0,1.0,0.0,0.0
1.0,0.999945,2.1e-05,3.4e-05
2.0,0.99977,9.9e-05,0.000131
3.0,0.999464,0.000229,0.000307
4.0,0.999018,0.000421,0.000561
5.0,0.998431,0.000708,0.000861
6.0,0.997741,0.001022,0.001237
7.0,0.996967,0.001326,0.001707
8.0,0.995995,0.00173,0.002275
9.0,0.994878,0.002216,0.002906
10.0,0.993619,0.002746,0.003635
11.0,0.992222,0.003333,0.004445
12.0,0.990759,0.003958,0.005283
13.0,0.989197,0.004615,0.006188
14.0,0.987464,0.00535,0.007186
15.0,0.985629,0.006128,0.008243
16.0,0.983645,0.007001,0.009354
17.0,0.981582,0.007894,0.010524
18.0,0.979381,0.008831,0.011788
19.0,0.977066,0.009819,0.013115
20.0,0.974666,0.010841,0.014493
21.0,0.972042,0.011939,0.016019
22.0,0.969432,0.013048,0.01752
23.0,0.966601,0.014218,0.019181
24.0,0.96368,0.015434,0.020886
25.0,0.960684,0.016683,0.022633
26.0,0.957504,0.017971,0.024525
27.0,0.954229,0.019345,0.026426
28.0,0.950852,0.020662,0.028486
29.0,0.947343,0.02207,0.030587
30.0,0.943796,0.023531,0.032673
31.0,0.940135,0.02505,0.034815
32.0,0.936355,0.026592,0.037053
33.0,0.932435,0.028215,0.03935
34.0,0.928472,0.029847,0.041681
35.0,0.924334,0.031586,0.04408
36.0,0.920081,0.033327,0.046592
37.0,0.915762,0.035063,0.049175
38.0,0.911428,0.036809,0.051763
39.0,0.906881,0.038663,0.054456
40.0,0.902276,0.04053,0.057194
41.0,0.897619,0.042411,0.05997
42.0,0.892929,0.044324,0.062747
43.0,0.888115,0.046197,0.065688
44.0,0.883188,0.048115,0.068697
45.0,0.878164,0.050076,0.07176
46.0,0.873087,0.052018,0.074895
47.0,0.867961,0.053954,0.078085
48.0,0.862709,0.05595,0.081341
49.0,0.857334,0.058044,0.084622
50.0,0.851893,0.06013,0.087977
51.0,0.846252,0.062304,0.091444
52.0,0.84071,0.064383,0.094907
53.0,0.835062,0.06649,0.098448
54.0,0.829275,0.068618,0.102107
55.0,0.823494,0.070825,0.105681
56.0,0.817788,0.072877,0.109335
57.0,0.811829,0.07502,0.113151
58.0,0.805903,0.077178,0.116919
59.0,0.799858,0.079314,0.120828
60.0,0.793748,0.081569,0.124683
61.0,0.787555,0.083662,0.128783
62.0,0.781377,0.085821,0.132802
63.0,0.775088,0.088027,0.136885
64.0,0.768791,0.090202,0.141007
65.0,0.762377,0.092331,0.145292
66.0,0.756137,0.094468,0.149395
67.0,0.749749,0.096548,0.153703
68.0,0.743173,0.098775,0.158052
69.0,0.736716,0.100872,0.162412
70.0,0.730016,0.103105,0.166879
71.0,0.723284,0.105315,0.171401
72.0,0.716713,0.10735,0.175937
73.0,0.710063,0.109435,0.180502
74.0,0.70338,0.111506,0.185114
75.0,0.696643,0.113527,0.18983
76.0,0.690006,0.115579,0.194415
77.0,0.683226,0.117591,0.199183
78.0,0.676367,0.119638,0.203995
79.0,0.669626,0.121597,0.208777
80.0,0.662942,0.123465,0.213593
81.0,0.656042,0.125472,0.218486
82.0,0.649202,0.127374,0.223424
83.0,0.642417,0.129255,0.228328
84.0,0.635602,0.131115,0.233283
85.0,0.628675,0.133047,0.238278
86.0,0.62168,0.134942,0.243378
87.0,0.614895,0.136742,0.248363
88.0,0.608024,0.138496,0.25348
89.0,0.601067,0.140204,0.258729
90.0,0.594201,0.141926,0.263873
91.0,0.587436,0.143496,0.269068
92.0,0.580567,0.145186,0.274247
93.0,0.573843,0.146804,0.279353
94.0,0.56696,0.148431,0.284609
95.0,0.560105,0.149966,0.289929
96.0,0.553257,0.151376,0.295367
97.0,0.546309,0.152745,0.300946
98.0,0.539529,0.154068,0.306403
99.0,0.532787,0.155456,0.311757
100.0,0.526026,0.156852,0.317122
101.0,0.519189,0.158202,0.322609
102.0,0.512541,0.15957,0.327889
103.0,0.506041,0.160689,0.33327
104.0,0.499302,0.161959,0.338739
105.0,0.49281,0.163025,0.344165
106.0,0.486136,0.164232,0.349632
107.0,0.479541,0.165406,0.355053
108.0,0.473121,0.166428,0.360451
109.0,0.466501,0.167487,0.366012
110.0,0.459888,0.16863,0.371482
111.0,0.453359,0.169586,0.377055
112.0,0.446871,0.170522,0.382607
113.0,0.440444,0.171434,0.388122
114.0,0.434027,0.172293,0.39368
115.0,0.427696,0.173047,0.399257
116.0,0.421392,0.173823,0.404785
117.0,0.415062,0.174556,0.410382
118.0,0.408678,0.17533,0.415992
119.0,0.402567,0.175924,0.421509
120.0,0.396376,0.176492,0.427132
121.0,0.39032,0.177057,0.432623
122.0,0.384198,0.177531,0.438271
123.0,0.378225,0.178035,0.44374
124.0,0.372353,0.178334,0.449313
125.0,0.366533,0.178648,0.454819
126.0,0.360505,0.178986,0.460509
127.0,0.354652,0.179236,0.466112
128.0,0.348684,0.179563,0.471753
129.0,0.342983,0.179792,0.477225
130.0,0.337182,0.179984,0.482834
131.0,0.331594,0.180125,0.488281
132.0,0.326111,0.180097,0.493792
133.0,0.320693,0.179871,0.499436
134.0,0.31505,0.179921,0.505029
135.0,0.309674,0.179774,0.510552
136.0,0.30431,0.179612,0.516078
137.0,0.299238,0.17942,0.521342
138.0,0.293954,0.17924,0.526806
139.0,0.288716,0.179142,0.532142
140.0,0.283624,0.178823,0.537553
141.0,0.278431,0.178563,0.543006
142.0,0.273436,0.178169,0.548395
143.0,0.26844,0.177803,0.553757
144.0,0.263439,0.177448,0.559113
145.0,0.258429,0.176975,0.564596
146.0,0.253774,0.176458,0.569768
147.0,0.249032,0.175949,0.575019
148.0,0.244293,0.175387,0.58032
149.0,0.239693,0.17485,0.585457
150.0,0.235142,0.174254,0.590604
151.0,0.230623,0.173643,0.595734
152.0,0.226124,0.172844,0.601032
153.0,0.22165,0.17205,0.6063
154.0,0.217319,0.17137,0.611311
155.0,0.213086,0.170594,0.61632
156.0,0.208947,0.169857,0.621196
157.0,0.204703,0.169024,0.626273
158.0,0.200717,0.168145,0.631138
159.0,0.196537,0.167143,0.63632
160.0,0.192591,0.166241,0.641168
161.0,0.188615,0.165352,0.646033
162.0,0.18472,0.1644,0.65088
163.0,0.180862,0.163505,0.655633
164.0,0.17713,0.162399,0.660471
165.0,0.173519,0.161248,0.665233
166.0,0.169843,0.160157,0.67
167.0,0.166304,0.158987,0.674709
168.0,0.162705,0.157805,0.67949
169.0,0.159174,0.156722,0.684104
170.0,0.155806,0.155677,0.688517
171.0,0.152374,0.154604,0.693022
172.0,0.148906,0.15336,0.697734
173.0,0.145791,0.152014,0.702195
174.0,0.142608,0.150831,0.706561
175.0,0.13946,0.149514,0.711026
176.0,0.136278,0.148315,0.715407
177.0,0.133183,0.147126,0.719691
178.0,0.130201,0.145707,0.724092
179.0,0.127261,0.14444,0.728299
